family,w_logistic,model,horizon,mean_wis,std_wis,n_series
trend_logistic_mix,0.0,TFP,1,29.43713154200965,18.773542009470813,200
trend_logistic_mix,0.0,TFP,4,102.52631975748871,67.5363408092731,200
trend_logistic_mix,0.0,TFP,8,192.44544565180823,123.76305270379692,200
trend_logistic_mix,0.0,TFP,12,273.6682678838164,173.20504964831778,200
trend_logistic_mix,0.0,SimpleTheta,1,19.82299156649273,11.796402093364362,200
trend_logistic_mix,0.0,SimpleTheta,4,22.997302204082438,13.629965016522732,200
trend_logistic_mix,0.0,SimpleTheta,8,27.720536979504804,16.423242695473316,200
trend_logistic_mix,0.0,SimpleTheta,12,32.66371508574808,19.421802539574625,200
trend_logistic_mix,0.0,Naive,1,22.46031219796487,13.617177769828848,200
trend_logistic_mix,0.0,Naive,4,25.298804809018637,15.073302647805718,200
trend_logistic_mix,0.0,Naive,8,29.884995084964412,17.713420368669237,200
trend_logistic_mix,0.0,Naive,12,34.76515835772455,20.648221817529013,200
seasonal_logistic_mix,0.0,TFP,1,77.23235517984837,15.749268552219545,200
seasonal_logistic_mix,0.0,TFP,4,115.78186053835309,24.96218443112056,200
seasonal_logistic_mix,0.0,TFP,8,132.46302178226722,27.739289955745637,200
seasonal_logistic_mix,0.0,TFP,12,141.48575863039943,28.29488331686357,200
seasonal_logistic_mix,0.0,SimpleTheta,1,70.4907662132371,14.335445738434434,200
seasonal_logistic_mix,0.0,SimpleTheta,4,88.90892147428875,17.983374672878902,200
seasonal_logistic_mix,0.0,SimpleTheta,8,111.31798873584064,23.039825598519666,200
seasonal_logistic_mix,0.0,SimpleTheta,12,133.92629227612423,28.276884626140568,200
seasonal_logistic_mix,0.0,Naive,1,83.64254794278884,17.19169238180922,200
seasonal_logistic_mix,0.0,Naive,4,194.50335214088355,47.5625317732057,200
seasonal_logistic_mix,0.0,Naive,8,191.89173600117851,44.07679903061917,200
seasonal_logistic_mix,0.0,Naive,12,136.43081181022094,28.183721914268784,200
trend_logistic_mix,0.1,TFP,1,32.55522357324808,21.67637187038161,200
trend_logistic_mix,0.1,TFP,4,113.00822501058755,77.73293126333877,200
trend_logistic_mix,0.1,TFP,8,216.34077132344754,150.0068569378645,200
trend_logistic_mix,0.1,TFP,12,310.26607607730637,211.2607349444428,200
