family,w_logistic,model,horizon,mean_mae,std_mae,n_series
trend_logistic_mix,0.0,TFP,1,3.954646763177112,2.5962957698189992,200
trend_logistic_mix,0.0,TFP,4,12.35397024561518,7.863322177692637,200
trend_logistic_mix,0.0,TFP,8,21.672469835987595,13.52573120633753,200
trend_logistic_mix,0.0,TFP,12,30.039240586036748,18.50237411059403,200
trend_logistic_mix,0.0,SimpleTheta,1,2.226049838929988,1.436237799803848,200
trend_logistic_mix,0.0,SimpleTheta,4,2.264473005017826,1.4649732187978786,200
trend_logistic_mix,0.0,SimpleTheta,8,2.2890496017947317,1.4757122473366078,200
trend_logistic_mix,0.0,SimpleTheta,12,2.3474499323194475,1.5070414230243803,200
trend_logistic_mix,0.0,Naive,1,2.785873812202478,1.8024720292093632,200
trend_logistic_mix,0.0,Naive,4,2.867325098718869,1.8517079168137542,200
trend_logistic_mix,0.0,Naive,8,2.9943073950307255,1.8995951629345074,200
trend_logistic_mix,0.0,Naive,12,3.168939442521687,1.9951788347037807,200
seasonal_logistic_mix,0.0,TFP,1,7.930080598995562,1.7472899433821427,200
seasonal_logistic_mix,0.0,TFP,4,15.31192003423144,3.775951037096055,200
seasonal_logistic_mix,0.0,TFP,8,15.691104477085615,3.720707003562397,200
seasonal_logistic_mix,0.0,TFP,12,10.875448816052886,3.4239904015211446,200
seasonal_logistic_mix,0.0,SimpleTheta,1,5.323890425018878,1.4039722167076143,200
seasonal_logistic_mix,0.0,SimpleTheta,4,6.419847733015346,1.8391079430986925,200
seasonal_logistic_mix,0.0,SimpleTheta,8,6.674500785266682,2.070311108291329,200
seasonal_logistic_mix,0.0,SimpleTheta,12,6.817375695896584,2.152762300767735,200
seasonal_logistic_mix,0.0,Naive,1,9.927473736382678,2.1679480707276486,200
seasonal_logistic_mix,0.0,Naive,4,28.56787964707407,6.953436377198444,200
seasonal_logistic_mix,0.0,Naive,8,28.653583479368248,6.8951500950144515,200
seasonal_logistic_mix,0.0,Naive,12,8.435614492689714,2.622468107170648,200
trend_logistic_mix,0.1,TFP,1,4.390456401675769,2.9649271850520096,200
trend_logistic_mix,0.1,TFP,4,13.60896599348343,8.949326151543556,200
trend_logistic_mix,0.1,TFP,8,24.216698152087847,16.07561265018807,200
trend_logistic_mix,0.1,TFP,12,33.811012492688995,22.18843860247463,200
trend_logistic_mix,0.1,SimpleTheta,1,2.472234732277967,1.6269887376789571,200
trend_logistic_mix,0.1,SimpleTheta,4,2.45174610431645,1.5575867119405795,200
trend_logistic_mix,0.1,SimpleTheta,8,2.487553687157154,1.544408104423985,200
trend_logistic_mix,0.1,SimpleTheta,12,2.5758845368704737,1.60673450639016,200
trend_logistic_mix,0.1,Naive,1,3.0925633520916898,2.065194381541412,200
trend_logistic_mix,0.1,Naive,4,3.0773846109473824,1.9716247720915279,200
trend_logistic_mix,0.1,Naive,8,3.2063163637703864,2.0051752707089157,200
trend_logistic_mix,0.1,Naive,12,3.470486168207444,2.1396766237196267,200
seasonal_logistic_mix,0.1,TFP,1,8.239103936548084,1.9510597736590787,200
seasonal_logistic_mix,0.1,TFP,4,15.781439565817346,3.8806787041309074,200
seasonal_logistic_mix,0.1,TFP,8,16.086476033172154,4.029334490639476,200
seasonal_logistic_mix,0.1,TFP,12,11.210913110048601,3.663244465744571,200
seasonal_logistic_mix,0.1,SimpleTheta,1,5.685085200145397,1.564523336895862,200
seasonal_logistic_mix,0.1,SimpleTheta,4,6.742382222767913,1.8650132894362688,200
seasonal_logistic_mix,0.1,SimpleTheta,8,6.869886328637174,2.0221627852122626,200
seasonal_logistic_mix,0.1,SimpleTheta,12,7.0192044911772,2.0781155598016374,200
seasonal_logistic_mix,0.1,Naive,1,10.175829709351085,2.304401510931975,200
seasonal_logistic_mix,0.1,Naive,4,29.008225055101548,7.1231525878615845,200
seasonal_logistic_mix,0.1,Naive,8,29.054246632004897,7.220954445574021,200
seasonal_logistic_mix,0.1,Naive,12,8.63001208240048,2.6660368872173317,200
trend_logistic_mix,0.25,TFP,1,3.80412628395934,2.9370251362895683,200
trend_logistic_mix,0.25,TFP,4,11.995437198836818,9.164194011263397,200
trend_logistic_mix,0.25,TFP,8,21.527636945804726,16.2712664034049,200
trend_logistic_mix,0.25,TFP,12,30.346886476684777,22.97814635496702,200
trend_logistic_mix,0.25,SimpleTheta,1,2.1614968798630185,1.599067406984672,200
trend_logistic_mix,0.25,SimpleTheta,4,2.2147384880996266,1.6691106826470434,200
trend_logistic_mix,0.25,SimpleTheta,8,2.2776797870922403,1.593869287997082,200
trend_logistic_mix,0.25,SimpleTheta,12,2.42537597698787,1.6857025218265371,200
trend_logistic_mix,0.25,Naive,1,2.680232094802944,2.034998935040525,200
trend_logistic_mix,0.25,Naive,4,2.7062542956204045,2.0996410463371613,200
trend_logistic_mix,0.25,Naive,8,2.8345898640795495,2.007248387683132,200
trend_logistic_mix,0.25,Naive,12,3.09365665246272,2.1653804693568035,200
seasonal_logistic_mix,0.25,TFP,1,8.37632009569556,1.9689255026550159,200
seasonal_logistic_mix,0.25,TFP,4,15.018474664955347,3.432263043940415,200
seasonal_logistic_mix,0.25,TFP,8,15.385369449204013,3.5851110442347567,200
seasonal_logistic_mix,0.25,TFP,12,11.251084286500168,3.4505866561560876,200
seasonal_logistic_mix,0.25,SimpleTheta,1,5.836966950298058,1.4748368102060339,200
seasonal_logistic_mix,0.25,SimpleTheta,4,6.73953259180966,1.7980513563249052,200
seasonal_logistic_mix,0.25,SimpleTheta,8,6.960051966184692,1.9990383938738265,200
seasonal_logistic_mix,0.25,SimpleTheta,12,7.126623506271848,2.0855873151910673,200
seasonal_logistic_mix,0.25,Naive,1,10.128874236971422,2.2820595067422937,200
seasonal_logistic_mix,0.25,Naive,4,27.63854577284807,6.530613620343474,200
seasonal_logistic_mix,0.25,Naive,8,27.679271362915323,6.595422869170984,200
seasonal_logistic_mix,0.25,Naive,12,8.712673942691199,2.662475422150005,200
trend_logistic_mix,0.5,TFP,1,3.747200559079431,3.3390752913054422,200
trend_logistic_mix,0.5,TFP,4,12.015577895739998,10.658267081882457,200
trend_logistic_mix,0.5,TFP,8,21.30836603843597,18.677599695647082,200
trend_logistic_mix,0.5,TFP,12,29.892761122399943,25.587396445223337,200
trend_logistic_mix,0.5,SimpleTheta,1,2.275881219989459,1.8651541654939643,200
trend_logistic_mix,0.5,SimpleTheta,4,2.4097942168464552,1.953708139952925,200
trend_logistic_mix,0.5,SimpleTheta,8,2.5355844865253023,1.9087388071709888,200
trend_logistic_mix,0.5,SimpleTheta,12,2.722421226502622,1.8751068536442939,200
trend_logistic_mix,0.5,Naive,1,2.6490284318598576,2.3525797656342484,200
trend_logistic_mix,0.5,Naive,4,2.7762289169121517,2.4824749993227138,200
trend_logistic_mix,0.5,Naive,8,2.9353827554174687,2.4992255251933226,200
trend_logistic_mix,0.5,Naive,12,3.1445636270437545,2.416102502353788,200
seasonal_logistic_mix,0.5,TFP,1,9.103519261117803,2.1736198057430496,200
seasonal_logistic_mix,0.5,TFP,4,15.492218638912847,3.844433985981112,200
seasonal_logistic_mix,0.5,TFP,8,15.98361290807403,3.983393020734025,200
seasonal_logistic_mix,0.5,TFP,12,12.091211730591262,3.3376259004090767,200
seasonal_logistic_mix,0.5,SimpleTheta,1,6.61791935839345,1.785298102504257,200
seasonal_logistic_mix,0.5,SimpleTheta,4,7.469379270677165,1.8918342264751165,200
seasonal_logistic_mix,0.5,SimpleTheta,8,7.8081364149600985,1.9337864842770673,200
seasonal_logistic_mix,0.5,SimpleTheta,12,8.151757008031494,2.256809265597739,200
seasonal_logistic_mix,0.5,Naive,1,10.79837854275832,2.467306239285279,200
seasonal_logistic_mix,0.5,Naive,4,28.403121916283418,7.224943325233378,200
seasonal_logistic_mix,0.5,Naive,8,28.44427063681702,7.113866608309154,200
seasonal_logistic_mix,0.5,Naive,12,9.479045016712792,2.653423957496879,200
trend_logistic_mix,0.75,TFP,1,3.8291410112500532,4.258232264010963,200
trend_logistic_mix,0.75,TFP,4,12.241125681655554,13.665918497164197,200
trend_logistic_mix,0.75,TFP,8,21.895287631452664,24.014088896945314,200
trend_logistic_mix,0.75,TFP,12,30.78180690589791,33.21950374930687,200
trend_logistic_mix,0.75,SimpleTheta,1,2.631380015229031,2.403723047066043,200
trend_logistic_mix,0.75,SimpleTheta,4,2.7944997402915384,2.452659673489387,200
trend_logistic_mix,0.75,SimpleTheta,8,2.9863916256338543,2.3472236319717643,200
trend_logistic_mix,0.75,SimpleTheta,12,3.280289069302821,2.429150160772316,200
trend_logistic_mix,0.75,Naive,1,2.701246184965329,2.9749758981300776,200
trend_logistic_mix,0.75,Naive,4,2.7860745625761503,3.1198430934375354,200
trend_logistic_mix,0.75,Naive,8,2.890092255162915,2.85193633474339,200
trend_logistic_mix,0.75,Naive,12,3.2190162898267802,2.9928132277407498,200
seasonal_logistic_mix,0.75,TFP,1,9.881720422596947,2.5734002920282513,200
seasonal_logistic_mix,0.75,TFP,4,15.953896895501103,3.8976725872516047,200
seasonal_logistic_mix,0.75,TFP,8,16.324223639189402,3.9602137164734468,200
seasonal_logistic_mix,0.75,TFP,12,13.034206229449275,4.008569418191753,200
seasonal_logistic_mix,0.75,SimpleTheta,1,7.625949668081823,2.289437776228219,200
seasonal_logistic_mix,0.75,SimpleTheta,4,8.50057525410081,2.4846394176814792,200
seasonal_logistic_mix,0.75,SimpleTheta,8,8.982026152629375,2.6196506329921623,200
seasonal_logistic_mix,0.75,SimpleTheta,12,9.341649680863343,2.930761331439948,200
seasonal_logistic_mix,0.75,Naive,1,11.572229389904214,2.7307304706937114,200
seasonal_logistic_mix,0.75,Naive,4,28.7103219803884,7.030333487737932,200
seasonal_logistic_mix,0.75,Naive,8,28.73287606778922,7.040200556051701,200
seasonal_logistic_mix,0.75,Naive,12,10.078350591534356,2.973249206282728,200
trend_logistic_mix,1.0,TFP,1,5.368386283003698,5.443449015284524,200
trend_logistic_mix,1.0,TFP,4,16.9330278691535,17.081359260506503,200
trend_logistic_mix,1.0,TFP,8,30.355195890453402,30.133278324368536,200
trend_logistic_mix,1.0,TFP,12,42.33728508890294,41.35317016523307,200
trend_logistic_mix,1.0,SimpleTheta,1,3.6114988788149884,2.954438038387134,200
trend_logistic_mix,1.0,SimpleTheta,4,3.8834659986035622,3.0945545031838413,200
trend_logistic_mix,1.0,SimpleTheta,8,4.161854907893885,3.068916186848292,200
trend_logistic_mix,1.0,SimpleTheta,12,4.463014165049514,3.054611445831836,200
