family,model,horizon,mean_wis,std_wis,mean_coverage_90,n_series
trend,TFP,1,48.10643476088652,37.4552737231207,0.8829166666666666,200
trend,TFP,4,163.6312831413588,129.80681881334704,0.5204166666666666,200
trend,TFP,8,303.3318411216044,235.57393053439125,0.404375,200
trend,TFP,12,424.25385698745845,321.1975695450396,0.35875,200
trend,SimpleTheta,1,38.49521409412125,24.738759477766294,0.951875,200
trend,SimpleTheta,4,43.11260706357283,27.374922355185216,0.985625,200
trend,SimpleTheta,8,50.7357152777513,32.222922748334874,0.9964583333333334,200
trend,SimpleTheta,12,58.50045561810002,37.11186923425066,0.99875,200
trend,Naive,1,35.55107722645847,24.93640501259915,0.961875,200
trend,Naive,4,39.210316153052815,26.027907052905217,0.9872916666666667,200
trend,Naive,8,46.09936767648614,30.2449705754173,0.9979166666666667,200
trend,Naive,12,53.39956238924462,34.60653686901393,0.9989583333333334,200
seasonal,TFP,1,86.36343146103881,23.372722359731902,0.9925,200
seasonal,TFP,4,126.43241247928512,35.599137479957335,0.985625,200
seasonal,TFP,8,144.5155673467888,40.70933024706523,0.9954166666666666,200
seasonal,TFP,12,154.2076858724996,41.74451891901988,0.999375,200
seasonal,SimpleTheta,1,77.98436884818678,20.950618693124486,0.998125,200
seasonal,SimpleTheta,4,97.15200108974153,26.147329907581035,0.999375,200
seasonal,SimpleTheta,8,120.5485714219448,34.16976323627621,1.0,200
seasonal,SimpleTheta,12,144.2568884815213,42.391385426360394,1.0,200
seasonal,Naive,1,93.39274530250961,25.542250300471505,0.98875,200
seasonal,Naive,4,210.241134988287,65.95913618709244,0.7639583333333333,200
seasonal,Naive,8,207.51063445156979,63.266700629728845,0.9347916666666667,200
seasonal,Naive,12,147.5334901485823,41.991421786432966,1.0,200
logistic_growth,TFP,1,123.44816536026363,36.146300074654015,0.9945833333333333,200
logistic_growth,TFP,4,220.88751087133033,60.1986561317737,0.8914583333333335,200
logistic_growth,TFP,8,359.2705749456951,109.46094834424409,0.8020833333333335,200
logistic_growth,TFP,12,482.71286871913986,147.6007450198148,0.779375,200
logistic_growth,SimpleTheta,1,156.38146250713328,43.42513063817191,0.99875,200
logistic_growth,SimpleTheta,4,193.0881438158868,51.68628896418936,0.9979166666666667,200
logistic_growth,SimpleTheta,8,240.29664589836767,62.23390008716258,0.99625,200
logistic_growth,SimpleTheta,12,285.1668359278937,71.55526160876468,0.9966666666666667,200
logistic_growth,Naive,1,120.3211477627129,36.39676001324697,0.9991666666666665,200
logistic_growth,Naive,4,156.9664391432113,43.42870417308045,1.0,200
logistic_growth,Naive,8,205.612063422598,53.62864285749308,0.999375,200
logistic_growth,Naive,12,252.44531908950273,64.41089895887825,0.9991666666666668,200
logistic_saturated,TFP,1,98.65302306821611,29.10929963627546,0.9777083333333334,200
logistic_saturated,TFP,4,225.30748670108656,75.26869520655856,0.794375,200
logistic_saturated,TFP,8,390.7391430998168,136.00592314565984,0.6760416666666668,200
logistic_saturated,TFP,12,526.2476851332494,176.1093792402252,0.6172916666666667,200
logistic_saturated,SimpleTheta,1,130.22091934594,37.660703859680915,0.9929166666666667,200
logistic_saturated,SimpleTheta,4,155.4569176730709,46.48093361617438,0.996875,200
logistic_saturated,SimpleTheta,8,188.86726708769288,59.01115354302038,0.999375,200
logistic_saturated,SimpleTheta,12,222.48949374064622,71.42872131552168,0.9995833333333334,200
logistic_saturated,Naive,1,90.52695559239699,29.852269161388772,0.994375,200
logistic_saturated,Naive,4,111.47109469972976,38.93928865174767,0.9975,200
logistic_saturated,Naive,8,139.63047395047354,51.69064968823493,1.0,200
logistic_saturated,Naive,12,167.711835597937,64.32094372279057,0.9997916666666667,200
