family,comparison,horizon,mae_ratio,mae_ci_lower,mae_ci_upper,wis_ratio,wis_ci_lower,wis_ci_upper
trend,TFP/SimpleTheta,1,1.2937275440871714,1.1963014991413383,1.3887524820501282,1.2496731319188334,1.16797769034967,1.333834122798274
trend,TFP/SimpleTheta,4,3.6121746565558914,3.3121051835756488,3.8956376082384474,3.795439299230315,3.5363139889375255,4.096802757878899
trend,TFP/SimpleTheta,8,5.731885041818861,5.266919828368017,6.235820371150737,5.978664919988265,5.529468461295356,6.430936448250669
trend,TFP/SimpleTheta,12,7.278157456048375,6.559018499008745,8.053147657973268,7.252146201339917,6.700601785660533,7.818697600648712
trend,TFP/Naive,1,1.4377130304029908,1.4040398850094746,1.4814363156289638,1.3531639127121549,1.317275372624794,1.3960965608035498
trend,TFP/Naive,4,4.209559537950627,4.067859842922789,4.3563275704010485,4.173169185952072,3.9651897706886547,4.39216996596364
trend,TFP/Naive,8,6.912966043421963,6.6600497736221485,7.200733548913084,6.579956654727058,6.182006118050355,6.944288705697214
trend,TFP/Naive,12,8.869267598836357,8.523233848023855,9.213789029621676,7.944893890608152,7.465468798766031,8.438653919471763
seasonal,TFP/SimpleTheta,1,1.4406336503394466,1.3974826845323527,1.4815721086227431,1.1074454116460655,1.1012930656965705,1.113836444099252
seasonal,TFP/SimpleTheta,4,2.2624513020589934,2.1550223485731297,2.3809306941310338,1.3013876303226797,1.2887249129315466,1.3154340973660295
seasonal,TFP/SimpleTheta,8,2.2684955097695174,2.1696654895295335,2.371602976085819,1.1988160924856968,1.188222036157415,1.2098933706950559
seasonal,TFP/SimpleTheta,12,1.5613830469725614,1.530121780615087,1.5917857545327996,1.0689797034701256,1.0597160790248679,1.0773853816629595
seasonal,TFP/Naive,1,0.8187355390727153,0.8090869157257788,0.8291131901694513,0.9247338343176222,0.9219443679919832,0.9274596107460206
seasonal,TFP/Naive,4,0.5450060347374825,0.5382037165671812,0.5520421823095698,0.6013685784484037,0.5955419525798945,0.6077515871083035
seasonal,TFP/Naive,8,0.5642034967559909,0.5542632830898171,0.5750004538801765,0.696424873494938,0.689824695079006,0.703425176622967
seasonal,TFP/Naive,12,1.2873052606515067,1.2722679032677484,1.3024006657051543,1.0452385130806277,1.0389006489190147,1.0507814626932277
logistic_growth,TFP/SimpleTheta,1,0.6948007924135265,0.635897791360038,0.7610694850460504,0.7894040852484839,0.7564001013268107,0.8201526262629637
logistic_growth,TFP/SimpleTheta,4,1.9817546493264715,1.8141492495863518,2.16915614264414,1.1439724185341527,1.097655010077316,1.1967299379960519
logistic_growth,TFP/SimpleTheta,8,3.0736177924223207,2.807789503562501,3.359840164287594,1.495112732857898,1.429590671567363,1.5676598858521082
logistic_growth,TFP/SimpleTheta,12,3.8697641211346423,3.5300572563461663,4.280814801863564,1.6927384530829417,1.6157574556862604,1.7776895222983706
logistic_growth,TFP/Naive,1,1.3786546946855693,1.3631828536863162,1.392952105279238,1.025988927596648,1.0206867534470059,1.0315596287782156
logistic_growth,TFP/Naive,4,3.766686458538056,3.6375015022582526,3.895648943749944,1.4072276346270394,1.3515592998761046,1.4623221562315416
logistic_growth,TFP/Naive,8,5.501064262265499,5.188653515444186,5.8233006602261135,1.7473224526096027,1.6665443235982285,1.831629912455082
logistic_growth,TFP/Naive,12,6.50318682053073,6.064962076753336,6.959833108836536,1.9121482246537413,1.8182081786842603,2.0107448768064518
logistic_saturated,TFP/SimpleTheta,1,0.7299780514743418,0.6857841869321905,0.7706330371337549,0.7575819888518696,0.735442750998522,0.7795321817292284
logistic_saturated,TFP/SimpleTheta,4,2.134405553719225,2.0157413948633165,2.2496156005249754,1.4493242891571596,1.3723240580979534,1.5338919024119455
logistic_saturated,TFP/SimpleTheta,8,3.3370349871077556,3.1732373828682796,3.5161912864931884,2.0688558114116877,1.9448348092252685,2.205780231280473
logistic_saturated,TFP/SimpleTheta,12,4.111324738956271,3.8976575888534275,4.343581780533943,2.3652698214446524,2.2276365085318366,2.51788209332233
logistic_saturated,TFP/Naive,1,1.4084182933036813,1.395871116517993,1.4218777904137438,1.0897640644451496,1.0780782313166748,1.1029382855386045
logistic_saturated,TFP/Naive,4,4.233308061304226,4.155608019526326,4.3143438327208585,2.0212189295170955,1.9123916468877167,2.140015850918917
logistic_saturated,TFP/Naive,8,7.296665411506968,7.106811539449383,7.466622017982861,2.798380124659683,2.6134329498719757,2.9980874496146472
logistic_saturated,TFP/Naive,12,9.89235993525297,9.640314778652368,10.152745265074133,3.1378088687482157,2.933155444116533,3.3577255809186086
