family,model,horizon,mean_mae,std_mae,n_series
trend,TFP,1,6.485672690899446,5.199651927932438,200
trend,TFP,4,19.292855328057307,14.558114453648145,200
trend,TFP,8,33.525060514197484,24.883636109450478,200
trend,TFP,12,45.885892152880075,33.445875602568144,200
trend,SimpleTheta,1,5.01316735547716,3.4892193747688887,200
trend,SimpleTheta,4,5.341063808484972,3.797842767556253,200
trend,SimpleTheta,8,5.848871753289594,4.3469645965876635,200
trend,SimpleTheta,12,6.3046028380091546,4.853421386224277,200
trend,Naive,1,4.511103783403502,3.4461886302570437,200
trend,Naive,4,4.583105466053059,3.3895423167142833,200
trend,Naive,8,4.849591377075876,3.5377211540214604,200
trend,Naive,12,5.173583009142748,3.5997948424106854,200
seasonal,TFP,1,9.2706756222089,2.5594547114338,200
seasonal,TFP,4,16.739015097169293,5.0353323405679795,200
seasonal,TFP,8,17.462379817997718,5.276128646553741,200
seasonal,TFP,12,12.244414096870512,4.676497572363911,200
seasonal,SimpleTheta,1,6.435137496631787,2.2708113091815165,200
seasonal,SimpleTheta,4,7.398618958974094,2.617398245217004,200
seasonal,SimpleTheta,8,7.697780199605474,2.8682985904137475,200
seasonal,SimpleTheta,12,7.842030897294408,2.9668962594501136,200
seasonal,Naive,1,11.32316258398737,3.087675420595689,200
seasonal,Naive,4,30.713449081774133,9.798576184014294,200
seasonal,Naive,8,30.950499098997824,9.880755981351799,200
seasonal,Naive,12,9.511663217062905,3.562421248609685,200
logistic_growth,TFP,1,7.956080117882159,3.097003846394544,200
logistic_growth,TFP,4,25.706570769159395,9.338819437561977,200
logistic_growth,TFP,8,45.008767087927325,15.457263989806991,200
logistic_growth,TFP,12,61.280139744869665,19.546049035451755,200
logistic_growth,SimpleTheta,1,11.450879453152547,6.420202602854817,200
logistic_growth,SimpleTheta,4,12.97162127405436,7.660250840076222,200
logistic_growth,SimpleTheta,8,14.64357969259928,9.050678419641772,200
logistic_growth,SimpleTheta,12,15.835626623904377,10.08219277069596,200
logistic_growth,Naive,1,5.77090126233292,2.0945948399688286,200
logistic_growth,Naive,4,6.82471744121138,2.232376149645475,200
logistic_growth,Naive,8,8.18182899564809,3.3497944157476813,200
logistic_growth,Naive,12,9.42309385168002,4.7341891680995,200
logistic_saturated,TFP,1,8.541460857515183,3.204529302343656,200
logistic_saturated,TFP,4,27.50054387430678,10.116596149899738,200
logistic_saturated,TFP,8,47.928299393371034,16.48104430749824,200
logistic_saturated,TFP,12,65.04049722163832,20.73745187329974,200
logistic_saturated,SimpleTheta,1,11.700983118963556,3.4084477125511947,200
logistic_saturated,SimpleTheta,4,12.884404196937542,3.6445511124390872,200
logistic_saturated,SimpleTheta,8,14.362540272588214,4.10568105784435,200
logistic_saturated,SimpleTheta,12,15.819839431645077,4.535639654119147,200
logistic_saturated,Naive,1,6.064576765386762,2.192492714799353,200
logistic_saturated,Naive,4,6.49623024737638,2.260918196521858,200
logistic_saturated,Naive,8,6.568520918855245,2.245200161265787,200
logistic_saturated,Naive,12,6.574821139479201,2.0973016623609144,200
